HQNO,median_gfp,replicate,predicted_micro_gfp
HQNO_0,161,1,322.0175398350571
HQNO_0,169,2,326.3587431788629
HQNO_0,165,3,324.18814150696
HQNO_5,182,1,333.4131986125473
HQNO_5,171,2,327.4440440148143
HQNO_5,170,3,326.9013935968386
HQNO_10,160,1,321.4748894170814
HQNO_10,187,2,336.1264507024259
HQNO_10,185,3,335.0411498664745
HQNO_20,166,1,324.7307919249357
HQNO_20,174,2,329.0719952687415
HQNO_20,173,3,328.52934485076577
HQNO_40,186,1,335.5838002844502
HQNO_40,202,2,344.2662069720618
HQNO_40,207,3,346.9794590619404
HQNO_80,450,1,478.84351063004164
HQNO_80,443,2,475.0449577042116
HQNO_80,443,3,475.0449577042116
HQNO_160,689,1,608.5369605262399
HQNO_160,665,2,595.5133504948225
HQNO_160,663,3,594.428049658871
HQNO_320,1010,1,782.7277446964476
HQNO_320,992,2,772.9600371728847
HQNO_320,1012,3,783.8130455323991
HQNO_640,1197,1,884.2033728579082
HQNO_640,1195,2,883.1180720219568
HQNO_640,1197,3,884.2033728579082
HQNO_1280,1440,1,1016.0674244260094
HQNO_1280,1462,2,1028.0057336214754
HQNO_1280,1489,3,1042.65729490682
HQNO_2500,1526,1,1062.7353603719218
HQNO_2500,1421,2,1005.7570664844707
HQNO_2500,1307,3,943.8949188352381
HQNO_5000,610,1,565.6675775061576
HQNO_5000,730,2,630.7856276632447
HQNO_5000,710,3,619.9326193037301
