replicate,pos,y_bin,median_intensity
replicate_4,pos10,0.0,297.94444444444446
replicate_4,pos10,1.0,340.30434782608694
replicate_4,pos10,2.0,378.6986301369863
replicate_4,pos10,3.0,353.875
replicate_4,pos10,4.0,358.078125
replicate_4,pos10,5.0,314.0
replicate_4,pos10,6.0,278.7317073170732
replicate_4,pos10,7.0,246.52557544757036
replicate_4,pos10,8.0,240.3205128205128
replicate_4,pos10,9.0,228.5
replicate_4,pos10,10.0,217.3141891891892
replicate_4,pos10,11.0,219.17575083426027
replicate_4,pos10,12.0,211.7391304347826
replicate_4,pos10,13.0,208.18666666666667
replicate_4,pos10,14.0,200.0
replicate_4,pos10,15.0,195.16129032258064
replicate_4,pos10,16.0,194.93243243243245
replicate_4,pos10,17.0,188.2982456140351
replicate_4,pos10,18.0,190.8548387096774
replicate_4,pos10,19.0,191.72131147540983
replicate_4,pos10,20.0,185.79166666666663
replicate_4,pos10,21.0,191.89673913043475
replicate_4,pos10,22.0,189.03297682709447
replicate_4,pos10,23.0,195.7012121212121
replicate_4,pos10,24.0,203.9046218487395
replicate_4,pos10,25.0,208.79070294784583
replicate_4,pos10,26.0,211.45728980322002
replicate_4,pos10,27.0,211.54032258064515
replicate_4,pos10,28.0,218.6882154882155
replicate_4,pos10,29.0,219.38107563991946
replicate_4,pos14,0.0,297.0289855072464
replicate_4,pos14,1.0,332.29569892473114
replicate_4,pos14,2.0,362.390625
replicate_4,pos14,3.0,394.8474576271187
replicate_4,pos14,4.0,349.60377358490564
replicate_4,pos14,5.0,305.8421052631579
replicate_4,pos14,6.0,301.2175
replicate_4,pos14,7.0,287.9620253164557
replicate_4,pos14,8.0,266.6930995043843
replicate_4,pos14,9.0,245.53787878787878
replicate_4,pos14,10.0,239.48571428571432
replicate_4,pos14,11.0,227.20408163265307
replicate_4,pos14,12.0,221.8571428571429
replicate_4,pos14,13.0,223.4028735632184
replicate_4,pos14,14.0,216.94049247606017
replicate_4,pos14,15.0,210.93939393939394
replicate_4,pos14,16.0,206.81349206349205
replicate_4,pos14,17.0,200.0888888888889
replicate_4,pos14,18.0,195.49696969696967
replicate_4,pos14,19.0,196.25240237170314
replicate_4,pos14,20.0,194.83277027027026
replicate_4,pos14,21.0,193.57895569620254
replicate_4,pos14,22.0,192.694374323837
replicate_4,pos14,23.0,194.0204081632653
replicate_4,pos14,24.0,193.53535353535352
replicate_4,pos14,25.0,197.98467938311688
replicate_4,pos14,26.0,204.453125
replicate_4,pos14,27.0,211.62614379084965
replicate_4,pos14,28.0,212.93352059925098
replicate_4,pos14,29.0,217.5529411764706
replicate_4,pos17,0.0,295.2739726027397
replicate_4,pos17,1.0,344.46000000000004
replicate_4,pos17,2.0,353.43979328165375
replicate_4,pos17,3.0,321.5385878489327
replicate_4,pos17,4.0,352.7352941176471
replicate_4,pos17,5.0,315.2692307692308
replicate_4,pos17,6.0,303.77777777777777
replicate_4,pos17,7.0,297.17511520737327
replicate_4,pos17,8.0,262.98079268292685
replicate_4,pos17,9.0,256.2926296866975
replicate_4,pos17,10.0,240.03846153846155
replicate_4,pos17,11.0,232.8709677419355
replicate_4,pos17,12.0,236.28888888888886
replicate_4,pos17,13.0,247.32949308755758
replicate_4,pos17,14.0,228.11472065285625
replicate_4,pos17,15.0,212.45098039215685
replicate_4,pos17,16.0,204.5173237753883
replicate_4,pos17,17.0,205.74555903866246
replicate_4,pos17,18.0,205.475
replicate_4,pos17,19.0,200.6984126984127
replicate_4,pos17,20.0,203.9
replicate_4,pos17,21.0,198.81632653061223
replicate_4,pos17,22.0,196.575
replicate_4,pos17,23.0,200.52
replicate_4,pos17,24.0,202.2785087719298
replicate_4,pos17,25.0,201.1071428571429
replicate_4,pos17,26.0,209.7783816425121
replicate_4,pos17,27.0,218.84615384615384
