replicate,pos,y_bin,y_um,median_intensity
replicate_4,pos10,0,0.75,291.9917541229385
replicate_4,pos10,1,2.25,325.4816810344828
replicate_4,pos10,2,3.75,342.6743961352657
replicate_4,pos10,3,5.25,326.9655172413793
replicate_4,pos10,4,6.75,313.05758941143336
replicate_4,pos10,5,8.25,339.0375
replicate_4,pos10,6,9.75,295.14827806122446
replicate_4,pos10,7,11.25,266.0515360321562
replicate_4,pos10,8,12.75,249.39948717948715
replicate_4,pos10,9,14.25,244.89090909090908
replicate_4,pos10,10,15.75,228.96296296296296
replicate_4,pos10,11,17.25,228.7971027216857
replicate_4,pos10,12,18.75,214.7851219512195
replicate_4,pos10,13,20.25,214.06666666666663
replicate_4,pos10,14,21.75,210.02777777777777
replicate_4,pos10,15,23.25,216.33823529411765
replicate_4,pos10,16,24.75,207.0113224637681
replicate_4,pos10,17,26.25,198.16176470588235
replicate_4,pos10,18,27.75,196.16363636363636
replicate_4,pos10,19,29.25,194.93243243243245
replicate_4,pos10,20,30.75,189.96546610169491
replicate_4,pos10,21,32.25,191.33333333333337
replicate_4,pos10,22,33.75,189.87142857142857
replicate_4,pos10,23,35.25,190.8571428571429
replicate_4,pos10,24,36.75,189.5072602739726
replicate_4,pos10,25,38.25,190.61428571428573
replicate_4,pos10,26,39.75,189.57777777777775
replicate_4,pos10,27,41.25,192.14772727272725
replicate_4,pos10,28,42.75,193.98214285714286
replicate_4,pos10,29,44.25,199.3870967741935
replicate_4,pos10,30,45.75,206.1290322580645
replicate_4,pos10,31,47.25,209.1820512820513
replicate_4,pos10,32,48.75,208.99346246973366
replicate_4,pos10,33,50.25,215.6712328767123
replicate_4,pos10,34,51.75,213.77837837837836
replicate_4,pos14,0,0.75,277.0343035343035
replicate_4,pos14,1,2.25,312.3333333333333
replicate_4,pos14,2,3.75,336.05762711864406
replicate_4,pos14,3,5.25,362.4331173780488
replicate_4,pos14,4,6.75,385.5973767885533
replicate_4,pos14,5,8.25,317.7
replicate_4,pos14,6,9.75,303.24692874692875
replicate_4,pos14,7,11.25,292.5471903982542
replicate_4,pos14,8,12.75,280.09090909090907
replicate_4,pos14,9,14.25,262.17428003972196
replicate_4,pos14,10,15.75,245.0
replicate_4,pos14,11,17.25,246.50378787878788
replicate_4,pos14,12,18.75,232.7576923076923
replicate_4,pos14,13,20.25,224.3695652173913
replicate_4,pos14,14,21.75,221.07894736842104
replicate_4,pos14,15,23.25,218.3571428571429
replicate_4,pos14,16,24.75,214.01377217553687
replicate_4,pos14,17,26.25,210.31385869565216
replicate_4,pos14,18,27.75,205.95416666666665
replicate_4,pos14,19,29.25,205.3815789473684
replicate_4,pos14,20,30.75,198.34717465753425
replicate_4,pos14,21,32.25,198.08822401227465
replicate_4,pos14,22,33.75,192.56164383561645
replicate_4,pos14,23,35.25,194.375
replicate_4,pos14,24,36.75,191.29647435897436
replicate_4,pos14,25,38.25,192.8947368421053
replicate_4,pos14,26,39.75,187.8571428571429
replicate_4,pos14,27,41.25,191.4109936109275
replicate_4,pos14,28,42.75,191.88372093023256
replicate_4,pos14,29,44.25,195.16071428571428
replicate_4,pos14,30,45.75,201.5421686746988
replicate_4,pos14,31,47.25,204.38523908523908
replicate_4,pos14,32,48.75,211.30327004219407
replicate_4,pos14,33,50.25,212.3483146067416
replicate_4,pos14,34,51.75,215.16666666666666
replicate_4,pos17,0,0.75,301.125
replicate_4,pos17,1,2.25,329.44736842105266
replicate_4,pos17,2,3.75,348.0943396226415
replicate_4,pos17,3,5.25,333.99296803652965
replicate_4,pos17,4,6.75,329.1063829787234
replicate_4,pos17,5,8.25,349.7142857142857
replicate_4,pos17,6,9.75,316.4740740740741
replicate_4,pos17,7,11.25,276.0344827586207
replicate_4,pos17,8,12.75,275.8636363636364
replicate_4,pos17,9,14.25,265.1844951923077
replicate_4,pos17,10,15.75,251.9375
replicate_4,pos17,11,17.25,247.4010180995475
replicate_4,pos17,12,18.75,231.84016393442624
replicate_4,pos17,13,20.25,227.6176470588235
replicate_4,pos17,14,21.75,229.97674418604652
replicate_4,pos17,15,23.25,232.15151515151516
replicate_4,pos17,16,24.75,224.82216142270863
replicate_4,pos17,17,26.25,216.1625
replicate_4,pos17,18,27.75,203.51177394034536
replicate_4,pos17,19,29.25,201.6551724137931
replicate_4,pos17,20,30.75,202.50201522615316
replicate_4,pos17,21,32.25,201.28947368421052
replicate_4,pos17,22,33.75,195.6951566951567
replicate_4,pos17,23,35.25,198.0909090909091
replicate_4,pos17,24,36.75,200.72413793103448
replicate_4,pos17,25,38.25,194.6859631147541
replicate_4,pos17,26,39.75,194.68609550561797
replicate_4,pos17,27,41.25,196.30645161290323
replicate_4,pos17,28,42.75,199.55555555555551
replicate_4,pos17,29,44.25,193.51777777777778
replicate_4,pos17,30,45.75,197.69377289377292
replicate_4,pos17,31,47.25,204.35443037974684
replicate_4,pos17,32,48.75,209.90899460708783
replicate_4,pos17,33,50.25,215.59036144578317
replicate_4,pos17,34,51.75,223.58333333333337
replicate_4,pos18,0,0.75,284.69680530440024
replicate_4,pos18,1,2.25,335.80555555555554
replicate_4,pos18,2,3.75,348.22972972972974
replicate_4,pos18,3,5.25,350.95081967213116
replicate_4,pos18,4,6.75,340.8837209302326
replicate_4,pos18,5,8.25,347.95021645021643
replicate_4,pos18,6,9.75,348.74422973698336
replicate_4,pos18,7,11.25,289.50710108604846
replicate_4,pos18,8,12.75,271.9037725533078
replicate_4,pos18,9,14.25,242.7122950819672
replicate_4,pos18,10,15.75,222.96363636363637
replicate_4,pos18,11,17.25,212.80629539951576
replicate_4,pos18,12,18.75,207.75155279503105
replicate_4,pos18,13,20.25,208.66197183098592
replicate_4,pos18,14,21.75,205.8
replicate_4,pos18,15,23.25,203.92857142857144
replicate_4,pos18,16,24.75,203.47272727272727
replicate_4,pos18,17,26.25,198.97692307692307
replicate_4,pos18,18,27.75,199.12111801242236
replicate_4,pos18,19,29.25,190.2201142390861
replicate_4,pos18,20,30.75,193.75
replicate_4,pos18,21,32.25,187.35064935064935
replicate_4,pos18,22,33.75,188.06562911725956
