replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_5,pos0,0,0.75,299.0016227180528,137.67202670709068,33.6140518947259,108.57702584260828
replicate_5,pos0,1,2.25,358.90909090909093,197.57949489812887,43.0783717635693,102.60958845028703
replicate_5,pos0,2,3.75,398.1372549019608,236.8076588909987,52.796691232812364,96.96706869858363
replicate_5,pos0,3,5.25,418.36206896551727,257.0324729545552,58.77941358994557,91.63159930791396
replicate_5,pos0,4,6.75,454.2680045011253,292.9384084901632,71.37204767936234,86.58628528676509
replicate_5,pos0,5,8.25,439.8125,278.48290398903794,65.97335523933829,81.81515043298398
replicate_5,pos0,6,9.75,472.59722222222223,311.26762621126016,78.92681802397101,77.30308674445133
replicate_5,pos0,7,11.25,448.589805211232,287.26020920026997,69.1953248044843,73.03580657894837
replicate_5,pos0,8,12.75,456.768115942029,295.43851993106693,72.35424746683488,68.99979741172794
replicate_5,pos0,9,14.25,482.515625,321.18602898903794,83.37804500428526,65.18227904752825
replicate_5,pos0,10,15.75,454.06944444444446,292.7398484334824,71.29467105042906,61.571163151539245
replicate_5,pos0,11,17.25,449.55555555555554,288.2259595445935,69.56032247032572,58.155014971174495
replicate_5,pos0,12,18.75,411.17105263157896,249.8414566206169,56.56827479629619,54.92301712743922
replicate_5,pos0,13,20.25,378.9387755102041,217.60917949924203,47.75369922745073,51.864935361238075
replicate_5,pos0,14,21.75,357.6649350649351,196.335339053973,42.806140596023575,48.97108612615695
replicate_5,pos0,15,23.25,353.86486486486484,192.5352688539028,41.987165342201024,46.232305925100036
replicate_5,pos0,16,24.75,349.9795918367347,188.64999582577263,41.16896705792406,43.63992229368518
replicate_5,pos0,17,26.25,328.5869565217391,167.25736051077706,37.27278884457285,41.18572633851546
replicate_5,pos0,18,27.75,288.7409090909091,127.41131307994704,32.54744108044109,38.86194674336776
replicate_5,pos0,19,29.25,281.2351449275362,119.90554891657416,31.776838944677387,36.66122516098844
replicate_5,pos0,20,30.75,282.96610169491527,121.6365056839532,31.955064602402913,34.57659291257269
replicate_5,pos0,21,32.25,280.5333333333333,119.20373732237128,31.704389050614907,32.60144892114573
replicate_5,pos0,22,33.75,267.3915317559153,106.06193574495325,30.308640623442674,30.72953880897087
replicate_5,pos0,23,35.25,264.2439024390244,102.91430642806232,29.957924678532006,28.954935092795484
replicate_5,pos0,24,36.75,249.39324534161497,88.06364933065286,28.173626647622257,27.272018414222373
replicate_5,pos0,25,38.25,239.9058441558442,78.57624814488211,26.896442724110145,25.675459745771576
replicate_5,pos0,26,39.75,234.23840852130328,72.9088125103412,26.07526168498879,24.160203516287474
replicate_5,pos0,27,41.25,218.32491803278688,56.99532202182482,23.526895800164667,22.721451602256927
replicate_5,pos0,28,42.75,224.7770114942529,63.447415483290825,24.60309290225584,21.35464813434646
replicate_5,pos0,29,44.25,224.58052884615384,63.250932835191776,24.571174889458714,20.05546507104758
replicate_5,pos0,30,45.75,223.44444444444449,62.11484843348242,24.38555791312165,18.81978849374866
replicate_5,pos0,31,47.25,227.484375,66.15477898903794,25.037343570010798,17.643705579836073
replicate_5,pos0,32,48.75,210.6764705882353,49.34687457727324,22.179044216452088,16.523492212574435
replicate_5,pos0,33,50.25,221.9613022113022,60.63170620034015,24.14052159240772,15.455601188532
replicate_5,pos0,34,51.75,225.34782608695653,64.01823007599447,24.69551147359583,14.436650985209674
replicate_5,pos1,0,0.75,322.04,160.71040398903796,36.337444766382994,153.66022040029247
replicate_5,pos1,1,2.25,376.70354609929075,215.3739500883287,47.20356445059011,144.42985722454046
replicate_5,pos1,2,3.75,432.41975308641975,271.0901570754577,63.38848387785205,135.7418408428315
replicate_5,pos1,3,5.25,455.93055555555554,294.6009595445935,72.02355793906298,127.56354699089113
replicate_5,pos1,4,6.75,483.8650793650794,322.53548335411733,84.00531686663405,119.86426545729503
replicate_5,pos1,5,8.25,501.40609390609393,340.07649789513187,92.66343588984407,112.61508476392913
replicate_5,pos1,6,9.75,547.6176470588235,386.2880510478615,120.67963944437415,105.78878360085062
replicate_5,pos1,7,11.25,522.9683333333332,361.6387373223712,104.71266842928387,99.35972860787975
replicate_5,pos1,8,12.75,491.5833333333333,330.25373732237125,87.69723210033399,93.3037781190814
replicate_5,pos1,9,14.25,482.70175438596493,321.37215837500287,83.46424813401359,87.59819150869019
replicate_5,pos1,10,15.75,503.5585821547058,342.2289861437437,93.79352223380563,82.22154379806433
replicate_5,pos1,11,17.25,485.8328828828829,324.50328687192086,84.92961378445843,77.15364520300965
replicate_5,pos1,12,18.75,474.3561643835616,313.0265683725995,79.69641400199247,72.37546531936744
replicate_5,pos1,13,20.25,459.99120082815733,298.66160481719527,73.64242301320093,67.86906166217615
replicate_5,pos1,14,21.75,430.69827586206895,269.3686798511069,62.80289214300821,63.61751229006505
replicate_5,pos1,15,23.25,396.7173913043478,235.38779529338575,52.40342789661367,59.604852261878634
replicate_5,pos1,16,24.75,391.8490566037736,230.51946059281153,51.08028767923826,55.81601368692112
replicate_5,pos1,17,26.25,350.109375,188.7797789890379,41.19599038286692,52.23676914370388
replicate_5,pos1,18,27.75,377.3916256157636,216.0620296048015,47.372126252583215,48.853678254728685
replicate_5,pos1,19,29.25,351.6299642218247,190.30036821086264,41.514182955582044,45.65403721669027
replicate_5,pos1,20,30.75,355.0927937915743,193.76319778061224,42.24975799033721,42.62583109657952
