replicate,pos,y_bin,y_um,median_intensity,corrected_intensity
replicate_4,pos10,0,0.75,291.9917541229385,130.66215811197645
replicate_4,pos10,1,2.25,325.4816810344828,164.1520850235207
replicate_4,pos10,2,3.75,342.6743961352657,181.34480012430362
replicate_4,pos10,3,5.25,326.9655172413793,165.63592123041724
replicate_4,pos10,4,6.75,313.05758941143336,151.72799340047132
replicate_4,pos10,5,8.25,339.0375,177.70790398903793
replicate_4,pos10,6,9.75,295.14827806122446,133.81868205026242
replicate_4,pos10,7,11.25,266.0515360321562,104.72194002119414
replicate_4,pos10,8,12.75,249.39948717948715,88.06989116852509
replicate_4,pos10,9,14.25,244.89090909090908,83.56131307994701
replicate_4,pos10,10,15.75,228.96296296296296,67.6333669520009
replicate_4,pos10,11,17.25,228.7971027216857,67.46750671072364
replicate_4,pos10,12,18.75,214.7851219512195,53.455525940257445
replicate_4,pos10,13,20.25,214.06666666666663,52.73707065570457
replicate_4,pos10,14,21.75,210.02777777777777,48.69818176681571
replicate_4,pos10,15,23.25,216.33823529411765,55.00863928315559
replicate_4,pos10,16,24.75,207.0113224637681,45.68172645280603
replicate_4,pos10,17,26.25,198.16176470588235,36.832168694920284
replicate_4,pos10,18,27.75,196.16363636363636,34.83404035267429
replicate_4,pos10,19,29.25,194.93243243243245,33.60283642147037
replicate_4,pos10,20,30.75,189.96546610169491,28.63587009073285
replicate_4,pos10,21,32.25,191.33333333333337,30.003737322371308
replicate_4,pos10,22,33.75,189.87142857142857,28.541832560466503
replicate_4,pos10,23,35.25,190.8571428571429,29.527546846180826
replicate_4,pos10,24,36.75,189.5072602739726,28.17766426301054
replicate_4,pos10,25,38.25,190.61428571428573,29.284689703323664
replicate_4,pos10,26,39.75,189.57777777777775,28.24818176681569
replicate_4,pos10,27,41.25,192.14772727272725,30.818131261765203
replicate_4,pos10,28,42.75,193.98214285714286,32.6525468461808
replicate_4,pos10,29,44.25,199.3870967741935,38.057500763231445
replicate_4,pos10,30,45.75,206.1290322580645,44.79943624710245
replicate_4,pos10,31,47.25,209.1820512820513,47.85245527108924
replicate_4,pos10,32,48.75,208.99346246973366,47.663866458771594
replicate_4,pos10,33,50.25,215.6712328767123,54.341636865750246
replicate_4,pos10,34,51.75,213.77837837837836,52.4487823674163
replicate_4,pos14,0,0.75,277.0343035343035,115.70470752334145
replicate_4,pos14,1,2.25,312.3333333333333,151.00373732237125
replicate_4,pos14,2,3.75,336.05762711864406,174.728031107682
replicate_4,pos14,3,5.25,362.4331173780488,201.10352136708673
replicate_4,pos14,4,6.75,385.5973767885533,224.2677807775912
replicate_4,pos14,5,8.25,317.7,156.37040398903792
replicate_4,pos14,6,9.75,303.24692874692875,141.91733273596668
replicate_4,pos14,7,11.25,292.5471903982542,131.21759438729217
replicate_4,pos14,8,12.75,280.09090909090907,118.761313079947
replicate_4,pos14,9,14.25,262.17428003972196,100.8446840287599
replicate_4,pos14,10,15.75,245.0,83.67040398903794
replicate_4,pos14,11,17.25,246.50378787878788,85.17419186782583
replicate_4,pos14,12,18.75,232.7576923076923,71.42809629673025
replicate_4,pos14,13,20.25,224.3695652173913,63.03996920642925
replicate_4,pos14,14,21.75,221.07894736842104,59.74935135745898
replicate_4,pos14,15,23.25,218.3571428571429,57.027546846180826
replicate_4,pos14,16,24.75,214.01377217553687,52.684176164574794
replicate_4,pos14,17,26.25,210.31385869565216,48.984262684690094
replicate_4,pos14,18,27.75,205.95416666666665,44.6245706557046
replicate_4,pos14,19,29.25,205.3815789473684,44.05198293640635
replicate_4,pos14,20,30.75,198.34717465753425,37.01757864657219
replicate_4,pos14,21,32.25,198.08822401227465,36.75862800131259
replicate_4,pos14,22,33.75,192.56164383561645,31.232047824654387
replicate_4,pos14,23,35.25,194.375,33.045403989037936
replicate_4,pos14,24,36.75,191.29647435897436,29.966878348012315
replicate_4,pos14,25,38.25,192.8947368421053,31.565140831143225
replicate_4,pos14,26,39.75,187.8571428571429,26.527546846180826
replicate_4,pos14,27,41.25,191.4109936109275,30.081397599965456
replicate_4,pos14,28,42.75,191.88372093023256,30.554124919270492
replicate_4,pos14,29,44.25,195.16071428571428,33.831118274752214
replicate_4,pos14,30,45.75,201.5421686746988,40.21257266373672
replicate_4,pos14,31,47.25,204.38523908523908,43.055643074277015
replicate_4,pos14,32,48.75,211.30327004219407,49.97367403123201
replicate_4,pos14,33,50.25,212.3483146067416,51.018718595779546
replicate_4,pos14,34,51.75,215.16666666666666,53.83707065570459
replicate_4,pos17,0,0.75,301.125,139.79540398903794
replicate_4,pos17,1,2.25,329.44736842105266,168.1177724100906
replicate_4,pos17,2,3.75,348.0943396226415,186.76474361167942
replicate_4,pos17,3,5.25,333.99296803652965,172.6633720255676
replicate_4,pos17,4,6.75,329.1063829787234,167.77678696776132
replicate_4,pos17,5,8.25,349.7142857142857,188.38468970332366
replicate_4,pos17,6,9.75,316.4740740740741,155.14447806311202
replicate_4,pos17,7,11.25,276.0344827586207,114.70488674765863
replicate_4,pos17,8,12.75,275.8636363636364,114.53404035267431
replicate_4,pos17,9,14.25,265.1844951923077,103.85489918134562
replicate_4,pos17,10,15.75,251.9375,90.60790398903794
replicate_4,pos17,11,17.25,247.4010180995475,86.07142208858545
replicate_4,pos17,12,18.75,231.84016393442624,70.51056792346418
replicate_4,pos17,13,20.25,227.6176470588235,66.28805104786144
replicate_4,pos17,14,21.75,229.97674418604652,68.64714817508445
replicate_4,pos17,15,23.25,232.15151515151516,70.82191914055309
replicate_4,pos17,16,24.75,224.82216142270863,63.492565411746554
replicate_4,pos17,17,26.25,216.1625,54.83290398903793
replicate_4,pos17,18,27.75,203.51177394034536,42.1821779293833
replicate_4,pos17,19,29.25,201.6551724137931,40.32557640283105
replicate_4,pos17,20,30.75,202.50201522615316,41.172419215191084
replicate_4,pos17,21,32.25,201.28947368421052,39.95987767324846
replicate_4,pos17,22,33.75,195.6951566951567,34.365560684194634
replicate_4,pos17,23,35.25,198.0909090909091,36.76131307994703
replicate_4,pos17,24,36.75,200.72413793103448,39.39454192007241
replicate_4,pos17,25,38.25,194.6859631147541,33.35636710379204
replicate_4,pos17,26,39.75,194.68609550561797,33.35649949465589
replicate_4,pos17,27,41.25,196.30645161290323,34.97685560194117
replicate_4,pos17,28,42.75,199.55555555555551,38.22595954459345
replicate_4,pos17,29,44.25,193.51777777777778,32.1881817668157
replicate_4,pos17,30,45.75,197.69377289377292,36.36417688281084
replicate_4,pos17,31,47.25,204.35443037974684,43.02483436878478
replicate_4,pos17,32,48.75,209.90899460708783,48.579398596125756
replicate_4,pos17,33,50.25,215.59036144578317,54.26076543482111
replicate_4,pos17,34,51.75,223.58333333333337,62.25373732237131
replicate_4,pos18,0,0.75,284.69680530440024,123.36720929343818
replicate_4,pos18,1,2.25,335.80555555555554,174.47595954459348
replicate_4,pos18,2,3.75,348.22972972972974,186.90013371876768
replicate_4,pos18,3,5.25,350.95081967213116,189.6212236611691
replicate_4,pos18,4,6.75,340.8837209302326,179.55412491927052
replicate_4,pos18,5,8.25,347.95021645021643,186.6206204392544
replicate_4,pos18,6,9.75,348.74422973698336,187.4146337260213
replicate_4,pos18,7,11.25,289.50710108604846,128.1775050750864
replicate_4,pos18,8,12.75,271.9037725533078,110.57417654234575
replicate_4,pos18,9,14.25,242.7122950819672,81.38269907100513
replicate_4,pos18,10,15.75,222.96363636363637,61.634040352674305
replicate_4,pos18,11,17.25,212.80629539951576,51.47669938855368
replicate_4,pos18,12,18.75,207.75155279503105,46.421956784068996
replicate_4,pos18,13,20.25,208.66197183098592,47.332375820023856
replicate_4,pos18,14,21.75,205.8,44.47040398903795
replicate_4,pos18,15,23.25,203.92857142857144,42.59897541760938
replicate_4,pos18,16,24.75,203.47272727272727,42.143131261765205
replicate_4,pos18,17,26.25,198.97692307692307,37.647327065960994
replicate_4,pos18,18,27.75,199.12111801242236,37.791522001460294
replicate_4,pos18,19,29.25,190.2201142390861,28.890518228124023
replicate_4,pos18,20,30.75,193.75,32.420403989037936
replicate_4,pos18,21,32.25,187.35064935064935,26.021053339687285
replicate_4,pos18,22,33.75,188.06562911725956,26.736033106297498
replicate_4,pos18,23,35.25,186.10380835380835,24.774212342846283
replicate_4,pos18,24,36.75,186.56363636363636,25.2340403526743
replicate_4,pos18,25,38.25,188.28235294117647,26.952756930214406
replicate_4,pos18,26,39.75,188.12280701754383,26.79321100658177
replicate_4,pos18,27,41.25,190.91905354919055,29.589457538228473
replicate_4,pos18,28,42.75,194.96059113300493,33.63099512204286
replicate_4,pos18,29,44.25,198.5483870967742,37.21879108581214
replicate_4,pos18,30,45.75,197.1782407407407,35.848644729778655
replicate_4,pos18,31,47.25,201.3548387096774,40.025242698715346
replicate_4,pos18,32,48.75,209.73655913978493,48.406963128822866
replicate_4,pos18,33,50.25,216.79295774647886,55.46336173551681
replicate_4,pos18,34,51.75,222.99657089898054,61.66697488801847
replicate_4,pos19,0,0.75,330.23043478260865,168.90083877164662
replicate_4,pos19,1,2.25,384.8594276094276,223.52983159846556
replicate_4,pos19,2,3.75,393.3717008797654,232.04210486880336
replicate_4,pos19,3,5.25,413.8094758064516,252.47987979548952
replicate_4,pos19,4,6.75,415.3333333333333,254.00373732237125
replicate_4,pos19,5,8.25,411.6938775510204,250.36428154005836
replicate_4,pos19,6,9.75,395.8888888888889,234.55929287792685
replicate_4,pos19,7,11.25,382.0639880952381,220.73439208427604
replicate_4,pos19,8,12.75,347.80645161290323,186.47685560194117
replicate_4,pos19,9,14.25,343.8181818181818,182.48858580721975
replicate_4,pos19,10,15.75,360.74077112387204,199.41117511290994
replicate_4,pos19,11,17.25,382.0761140819964,220.74651807103436
replicate_4,pos19,12,18.75,336.17931688804555,174.84972087708348
replicate_4,pos19,13,20.25,277.35526315789474,116.02566714693268
replicate_4,pos19,14,21.75,280.47858796296293,119.1489919520009
replicate_4,pos19,15,23.25,258.54354765161884,97.21395164065675
replicate_4,pos19,16,24.75,260.5544176706827,99.22482165972067
replicate_4,pos19,17,26.25,250.61397849462367,89.28438248366159
replicate_4,pos19,18,27.75,253.1864406779661,91.85684466700403
replicate_4,pos19,19,29.25,251.3870967741935,90.05750076323145
replicate_4,pos19,20,30.75,238.82,77.49040398903793
replicate_4,pos19,21,32.25,237.01356707317072,75.68397106220866
replicate_4,pos19,22,33.75,229.1412294647589,67.81163345379683
replicate_4,pos19,23,35.25,215.2465277777778,53.916931766815736
replicate_4,pos19,24,36.75,215.02969247083774,53.700096459875695
replicate_4,pos19,25,38.25,218.33333333333337,57.00373732237131
replicate_4,pos19,26,39.75,212.72857142857143,51.398975417609364
replicate_4,pos19,27,41.25,211.07954545454547,49.749949443583404
replicate_4,pos19,28,42.75,208.54430379746836,47.214707786506295
replicate_4,pos19,29,44.25,210.11363636363637,48.78404035267431
replicate_4,pos19,30,45.75,217.01388888888889,55.68429287792682
replicate_4,pos19,31,47.25,226.21875,64.88915398903794
replicate_4,pos19,32,48.75,225.3134328358209,63.98383682485883
replicate_4,pos19,33,50.25,237.5897435897436,76.26014757878153
replicate_4,pos19,34,51.75,245.39732770745428,84.06773169649223
replicate_4,pos23,0,0.75,245.7301797040169,84.40058369305486
replicate_4,pos23,1,2.25,280.2911392405063,118.96154322954425
replicate_4,pos23,2,3.75,297.6456730769231,136.31607706596103
replicate_4,pos23,3,5.25,314.48275862068965,153.1531626097276
replicate_4,pos23,4,6.75,294.1111111111111,132.78151510014902
replicate_4,pos23,5,8.25,290.7,129.37040398903792
replicate_4,pos23,6,9.75,276.68,115.35040398903794
replicate_4,pos23,7,11.25,265.0,103.67040398903794
replicate_4,pos23,8,12.75,239.11832611832614,77.78873010736407
replicate_4,pos23,9,14.25,232.65564516129032,71.32604915032826
replicate_4,pos23,10,15.75,247.32570806100216,85.9961120500401
replicate_4,pos23,11,17.25,229.56309523809523,68.23349922713318
replicate_4,pos23,12,18.75,223.35587044534412,62.026274434382074
replicate_4,pos23,13,20.25,217.03508771929825,55.70549170833618
replicate_4,pos23,14,21.75,208.8125,47.482903989037936
replicate_4,pos23,15,23.25,199.61111111111111,38.28151510014905
replicate_4,pos23,16,24.75,198.83333333333337,37.50373732237131
replicate_4,pos23,17,26.25,197.74358974358975,36.41399373262769
replicate_4,pos23,18,27.75,187.37704918032787,26.04745316936581
replicate_4,pos23,19,29.25,185.56521739130432,24.235621380342252
replicate_4,pos23,20,30.75,182.3947368421053,21.065140831143225
replicate_4,pos23,21,32.25,181.46296296296296,20.133366952000898
replicate_4,pos23,22,33.75,179.58139534883722,18.251799337875156
replicate_4,pos23,23,35.25,176.8115468409586,15.481950829996535
replicate_4,pos23,24,36.75,175.57777777777778,14.24818176681572
replicate_4,pos23,25,38.25,174.76,13.430403989037927
replicate_4,pos23,26,39.75,173.675,12.345403989037948
replicate_4,pos23,27,41.25,171.59334334334335,10.263747332381271
replicate_4,pos23,28,42.75,170.88141711229946,9.55182110133741
replicate_4,pos23,29,44.25,174.4189189189189,13.089322907956841
replicate_4,pos23,30,45.75,176.58823529411765,15.258639283155588
replicate_4,pos23,31,47.25,177.0032114624506,15.67361545148853
replicate_4,pos23,32,48.75,180.8955223880597,19.56592637709764
replicate_4,pos23,33,50.25,187.42964899178492,26.100052980822852
replicate_4,pos23,34,51.75,193.16666666666663,31.837070655704565
replicate_4,pos34,0,0.75,295.08045977011494,133.75086375915288
replicate_4,pos34,1,2.25,332.58024691358025,171.25065090261816
replicate_4,pos34,2,3.75,358.6462515011151,197.31665549015304
replicate_4,pos34,3,5.25,392.63010204081627,231.30050602985423
replicate_4,pos34,4,6.75,398.6109123434705,237.28131633250842
replicate_4,pos34,5,8.25,373.68831168831167,212.3587156773496
replicate_4,pos34,6,9.75,371.1189393939394,209.78934338297734
replicate_4,pos34,7,11.25,354.962962962963,193.63336695200093
replicate_4,pos34,8,12.75,321.17490118577075,159.8453051748087
replicate_4,pos34,9,14.25,331.58490566037733,170.25530964941527
replicate_4,pos34,10,15.75,339.4,178.0704039890379
replicate_4,pos34,11,17.25,306.7391304347826,145.40953442382056
replicate_4,pos34,12,18.75,275.37412587412587,114.0445298631638
replicate_4,pos34,13,20.25,257.9130434782609,96.58344746729881
replicate_4,pos34,14,21.75,260.1794871794872,98.84989116852512
replicate_4,pos34,15,23.25,250.4931506849315,89.16355467396943
replicate_4,pos34,16,24.75,246.7651515151515,85.43555550418945
replicate_4,pos34,17,26.25,224.99264705882354,63.66305104786147
replicate_4,pos34,18,27.75,214.55769230769232,53.22809629673024
replicate_4,pos34,19,29.25,207.67307692307693,46.34348091211487
replicate_4,pos34,20,30.75,196.60416666666663,35.274570655704565
replicate_4,pos34,21,32.25,202.90625,41.576653989037936
replicate_4,pos34,22,33.75,201.16147786946738,39.8318818585053
replicate_4,pos34,23,35.25,198.3691983122363,37.03960230127424
replicate_4,pos34,24,36.75,193.30263157894737,31.973035567985306
replicate_4,pos34,25,38.25,191.05555555555551,29.72595954459345
replicate_4,pos34,26,39.75,189.20619235836628,27.876596347404217
replicate_4,pos34,27,41.25,190.47619047619048,29.146594465228418
replicate_4,pos34,28,42.75,189.48611111111111,28.15651510014905
replicate_4,pos34,29,44.25,190.01502932551318,28.685433314551133
replicate_4,pos34,30,45.75,194.22212885154062,32.89253284057855
replicate_4,pos34,31,47.25,200.12280701754383,38.79321100658177
replicate_4,pos34,32,48.75,200.01470588235293,38.68510987139088
replicate_4,pos34,33,50.25,206.26530612244895,44.935710111486884
replicate_4,pos34,34,51.75,212.1794871794872,50.84989116852515
replicate_4,pos36,0,0.75,344.7481777403981,183.41858172943603
replicate_4,pos36,1,2.25,400.1818181818182,238.85222217085612
replicate_4,pos36,2,3.75,456.27619047619044,294.9465944652284
replicate_4,pos36,3,5.25,505.2972972972973,343.9677012863352
replicate_4,pos36,4,6.75,550.5,389.17040398903794
replicate_4,pos36,5,8.25,607.2280858676208,445.8984898566587
replicate_4,pos36,6,9.75,545.5662790697675,384.23668305880534
replicate_4,pos36,7,11.25,490.8292682926829,329.49967228172085
replicate_4,pos36,8,12.75,526.6527777777778,365.3231817668157
replicate_4,pos36,9,14.25,486.6,325.27040398903796
replicate_4,pos36,10,15.75,428.41085840058696,267.0812623896249
replicate_4,pos36,11,17.25,370.09090909090907,208.761313079947
replicate_4,pos36,12,18.75,372.27272727272725,210.9431312617652
replicate_4,pos36,13,20.25,345.8767123287671,184.54711631780503
replicate_4,pos36,14,21.75,321.7667483660131,160.437152355051
replicate_4,pos36,15,23.25,316.94680851063833,155.61721249967624
replicate_4,pos36,16,24.75,281.6166666666667,120.28707065570461
replicate_4,pos36,17,26.25,279.5708333333333,118.24123732237126
