replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos10,0,0.75,291.9917541229385,130.66215811197645,102.48449384896591,189.5072602739726,25.9091875586204,107.25944727137686
replicate_4,pos10,1,2.25,325.4816810344828,164.1520850235207,135.97442076051018,189.5072602739726,34.51431837235191,85.71279019016588
replicate_4,pos10,2,3.75,342.6743961352657,181.3448001243036,153.16713586129308,189.5072602739726,39.105502062804796,68.49450178111391
replicate_4,pos10,3,5.25,326.9655172413793,165.63592123041724,137.4582569674067,189.5072602739726,34.90547863602502,54.73508403846699
replicate_4,pos10,4,6.75,313.05758941143336,151.72799340047132,123.55032913746075,189.5072602739726,31.27413381702327,43.73970679076207
replicate_4,pos10,5,8.25,339.0375,177.70790398903793,149.53023972602742,189.5072602739726,38.123225299564176,34.953119808576695
replicate_4,pos10,6,9.75,295.14827806122446,133.81868205026242,105.64101778725185,189.5072602739726,26.703746752411075,27.9316134921589
replicate_4,pos10,7,11.25,266.0515360321562,104.72194002119414,76.5442757581836,189.5072602739726,19.480320200929672,22.320612195284642
replicate_4,pos10,8,12.75,249.39948717948715,88.06989116852509,59.89222690551455,189.5072602739726,15.421035245820805,17.836768681456938
replicate_4,pos10,9,14.25,244.89090909090908,83.56131307994701,55.38364881693647,189.5072602739726,14.326306802954514,14.253655509064531
replicate_4,pos10,10,15.75,228.96296296296296,67.6333669520009,39.45570268899036,189.5072602739726,10.454266383093355,11.390330781690668
replicate_4,pos10,11,17.25,228.7971027216857,67.46750671072364,39.289842447713085,189.5072602739726,10.413787151861438,9.102200850934866
replicate_4,pos10,12,18.75,214.7851219512195,53.455525940257445,25.277861677246904,189.5072602739726,6.962270113674163,7.273718551804095
replicate_4,pos10,13,20.25,214.06666666666663,52.73707065570457,24.55940639269403,189.5072602739726,6.782796368569735,5.812548242399477
replicate_4,pos10,14,21.75,210.02777777777777,48.69818176681571,20.520517503805166,189.5072602739726,5.766740966474044,4.6449029910637485
replicate_4,pos10,15,23.25,216.33823529411765,55.00863928315559,26.830975020145047,189.5072602739726,7.349136486789672,3.711818445862206
replicate_4,pos10,16,24.75,207.0113224637681,45.68172645280603,17.50406218979549,189.5072602739726,4.998173992689974,2.966175222337005
replicate_4,pos10,17,26.25,198.16176470588235,36.83216869492029,8.654504431909743,189.5072602739726,2.664412170514282,2.370319444536222
replicate_4,pos10,18,27.75,196.16363636363636,34.83404035267429,6.656376089663752,189.5072602739726,2.1103020560320203,1.8941612801718573
replicate_4,pos10,19,29.25,194.93243243243245,33.60283642147037,5.425172158459844,189.5072602739726,1.760324624642767,1.5136554487547977
replicate_4,pos10,20,30.75,189.96546610169491,28.63587009073285,0.4582058277223098,189.5072602739726,0.1987015360484176,1.2095869706230222
replicate_4,pos10,21,32.25,191.33333333333337,30.003737322371308,1.8260730593607661,189.5072602739726,0.6723428197990682,0.9666008389914632
replicate_4,pos10,22,33.75,189.87142857142857,28.541832560466503,0.36416829745596146,189.5072602739726,0.16229550705434634,0.7724266149024172
replicate_4,pos10,23,35.25,190.8571428571429,29.527546846180822,1.3498825831702845,189.5072602739726,0.5150200132585135,0.6172587882724637
replicate_4,pos10,24,36.75,189.5072602739726,28.17766426301054,0.0,189.5072602739726,0.0,0.4932616141885971
replicate_4,pos10,25,38.25,190.61428571428573,29.284689703323664,1.107025440313123,189.5072602739726,0.4323753244285446,0.39417341942153505
replicate_4,pos10,26,39.75,189.57777777777775,28.24818176681569,0.07051750380514932,189.5072602739726,0.038216954761618675,0.31499039722249494
replicate_4,pos10,27,41.25,192.14772727272725,30.818131261765203,2.640466998754647,189.5072602739726,0.9310836780585552,0.2517139225100532
replicate_4,pos10,28,42.75,193.9821428571429,32.6525468461808,4.4748825831702845,189.5072602739726,1.4843434160409121,0.20114862723911062
replicate_4,pos10,29,44.25,199.3870967741935,38.057500763231445,9.879836500220904,189.5072602739726,2.9975936578996754,0.16074103905783207
replicate_4,pos10,30,45.75,206.1290322580645,44.79943624710245,16.621771984091907,189.5072602739726,4.771424497827777,0.12845063474426532
replicate_4,pos10,31,47.25,209.1820512820513,47.85245527108924,19.6747910080787,189.5072602739726,5.552209767311073,0.10264679681259431
replicate_4,pos10,32,48.75,208.9934624697337,47.663866458771594,19.48620219576108,189.5072602739726,5.504275742843887,0.08202646975060059
