replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_4,pos10,0,0.75,291.9917541229385,130.66215811197645,33.12137877890284,60.63057685424563
replicate_4,pos10,1,2.25,325.4816810344828,164.1520850235207,42.11081177032343,54.68379488214473
replicate_4,pos10,2,3.75,342.6743961352657,181.3448001243036,46.93833782891575,49.32026961030852
replicate_4,pos10,3,5.25,326.9655172413793,165.63592123041724,42.52134606181254,44.48279374252465
replicate_4,pos10,4,6.75,313.05758941143336,151.72799340047132,38.71607277149592,40.11977081921428
replicate_4,pos10,5,8.25,339.0375,177.70790398903793,45.90390264078897,36.18466489021315
replicate_4,pos10,6,9.75,295.14827806122446,133.81868205026242,33.9476670439609,32.635504162885276
replicate_4,pos10,7,11.25,266.0515360321562,104.72194002119414,26.472081471031338,29.43443333148623
replicate_4,pos10,8,12.75,249.39948717948715,88.06989116852509,22.316732973706735,26.54730981292608
replicate_4,pos10,9,14.25,244.89090909090908,83.56131307994701,21.203852798556934,23.94333958238776
replicate_4,pos10,10,15.75,228.96296296296296,67.6333669520009,17.303888743919508,21.59474872462777
replicate_4,pos10,11,17.25,228.7971027216857,67.46750671072364,17.26348378803049,19.476487197729274
replicate_4,pos10,12,18.75,214.7851219512195,53.455525940257445,13.858297336279797,17.565961649655538
replicate_4,pos10,13,20.25,214.06666666666663,52.73707065570457,13.683909443194668,15.842794437828125
replicate_4,pos10,14,21.75,210.02777777777777,48.69818176681571,12.70334069589551,14.288606281435586
replicate_4,pos10,15,23.25,216.33823529411765,55.00863928315559,14.235278747024726,12.886820228244785
replicate_4,pos10,16,24.75,207.0113224637681,45.68172645280603,11.970415134581868,11.622484845027225
replicate_4,pos10,17,26.25,198.16176470588235,36.83216869492029,9.813255200597327,10.482114745751586
replicate_4,pos10,18,27.75,196.16363636363636,34.83404035267429,9.323869492336545,9.453546756618069
replicate_4,pos10,19,29.25,194.93243243243245,33.60283642147037,9.021721817733187,8.525810183792553
replicate_4,pos10,20,30.75,189.96546610169491,28.63587009073285,7.7969991867425215,7.689009800117752
replicate_4,pos10,21,32.25,191.33333333333337,30.003737322371308,8.13532544987508,6.934220302739066
replicate_4,pos10,22,33.75,189.87142857142857,28.541832560466503,7.77370694229268,6.253391115931373
replicate_4,pos10,23,35.25,190.8571428571429,29.527546846180822,8.01764503216841,5.6392605237549285
replicate_4,pos10,24,36.75,189.5072602739726,28.17766426301054,7.683463643398658,5.085278216680258
replicate_4,pos10,25,38.25,190.61428571428573,29.284689703323664,7.957587636777453,4.585535426065286
replicate_4,pos10,26,39.75,189.57777777777775,28.24818176681569,7.700943621628476,4.134701901299874
replicate_4,pos10,27,41.25,192.14772727272725,30.818131261765203,8.33635189698335,3.7279690574167543
replicate_4,pos10,28,42.75,193.9821428571429,32.6525468461808,8.788163632482021,3.3609986867819504
replicate_4,pos10,29,44.25,199.3870967741935,38.057500763231445,10.1128409409971,3.029876687824191
replicate_4,pos10,30,45.75,206.1290322580645,44.79943624710245,11.755885020359248,2.731071317274499
replicate_4,pos10,31,47.25,209.1820512820513,47.85245527108924,12.497919342431576,2.461395520634849
replicate_4,pos10,32,48.75,208.9934624697337,47.663866458771594,12.452105837324526,2.2179729390931238
replicate_4,pos10,33,50.25,215.6712328767123,54.341636865750246,14.073378030996201,1.9982072303145237
replicate_4,pos10,34,51.75,213.77837837837836,52.4487823674163,13.6139330116369,1.7997543758853736
replicate_4,pos14,0,0.75,277.0343035343035,115.70470752334144,29.258297761491406,59.38555853558974
replicate_4,pos14,1,2.25,312.3333333333333,151.00373732237125,38.52045634540456,54.3278068586409
replicate_4,pos14,2,3.75,336.05762711864406,174.728031107682,45.06174516775263,49.700750217322366
replicate_4,pos14,3,5.25,362.4331173780488,201.10352136708673,52.691389911646205,45.467706653715624
replicate_4,pos14,4,6.75,385.5973767885533,224.2677807775912,59.74767453947553,41.59511783086811
replicate_4,pos14,5,8.25,317.7,156.37040398903792,39.97581487398995,38.05228299206836
replicate_4,pos14,6,9.75,303.24692874692875,141.91733273596668,36.08658047427474,34.81111557418486
replicate_4,pos14,7,11.25,292.5471903982542,131.21759438729217,33.2664846872188,31.845920545570937
replicate_4,pos14,8,12.75,280.09090909090907,118.761313079947,30.04100868164086,29.13319070333462
replicate_4,pos14,9,14.25,262.17428003972196,100.8446840287599,25.497601257455408,26.651420315078234
replicate_4,pos14,10,15.75,245.0,83.67040398903794,21.230726848667505,24.380934627712985
replicate_4,pos14,11,17.25,246.50378787878788,85.17419186782583,21.6014428853194,22.303733891744855
replicate_4,pos14,12,18.75,232.7576923076923,71.42809629673025,18.229284138113854,20.403350664500895
replicate_4,pos14,13,20.25,224.3695652173913,63.03996920642925,16.18600454459817,18.664719261038275
replicate_4,pos14,14,21.75,221.07894736842104,59.74935135745898,15.386329417140804,17.07405631778019
replicate_4,pos14,15,23.25,218.3571428571429,57.027546846180826,14.725374503494526,15.618751522022412
replicate_4,pos14,16,24.75,214.01377217553687,52.684176164574794,13.671070398198092,14.287267641045563
replicate_4,pos14,17,26.25,210.31385869565216,48.984262684690094,12.772817937533807,13.069049058293082
replicate_4,pos14,18,27.75,205.95416666666665,44.6245706557046,11.713356066810402,11.95443809151637
replicate_4,pos14,19,29.25,205.3815789473684,44.05198293640635,11.5740721279854,10.93459842948168
replicate_4,pos14,20,30.75,198.34717465753425,37.01757864657219,9.858610777965373,10.001445080267283
replicate_4,pos14,21,32.25,198.08822401227465,36.75862800131259,9.79526297434512,9.14758027580141
replicate_4,pos14,22,33.75,192.56164383561645,31.232047824654387,8.438415501304684,8.366234824510762
replicate_4,pos14,23,35.25,194.375,33.045403989037936,8.884757077764604,7.651214447140543
replicate_4,pos14,24,36.75,191.29647435897436,29.966878348012315,8.126220213361556,6.996850670311937
replicate_4,pos14,25,38.25,192.8947368421053,31.565140831143225,8.520498702497028,6.397955888515487
replicate_4,pos14,26,39.75,187.8571428571429,26.527546846180822,7.2736686781368105,5.849782238284964
replicate_4,pos14,27,41.25,191.4109936109275,30.081397599965456,8.154507799481422,5.347983958518101
replicate_4,pos14,28,42.75,191.88372093023256,30.554124919270492,8.271215589889541,4.888582938547819
