replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_4,pos10,0,0.75,291.9917541229385,130.66215811197645,32.88178247002511,38.87883963739522
replicate_4,pos10,1,2.25,325.4816810344828,164.1520850235207,36.816979876260824,37.56434370708958
replicate_4,pos10,2,3.75,342.6743961352657,181.3448001243036,39.68486083444476,36.29035711522676
replicate_4,pos10,3,5.25,326.9655172413793,165.63592123041724,37.03189465246715,35.05550599635543
replicate_4,pos10,4,6.75,313.05758941143336,151.72799340047132,35.191984670324935,33.85845868866642
replicate_4,pos10,5,8.25,339.0375,177.70790398903793,39.000506958238475,32.69792429793044
replicate_4,pos10,6,9.75,295.14827806122446,133.81868205026242,33.20896215678152,31.572651305399397
replicate_4,pos10,7,11.25,266.0515360321562,104.72194002119414,30.160313720478158,30.481426218170267
replicate_4,pos10,8,12.75,249.39948717948715,88.06989116852509,28.174428730684827,29.423072260555976
replicate_4,pos10,9,14.25,244.89090909090908,83.56131307994701,27.58225792265876,28.39644810505202
replicate_4,pos10,10,15.75,228.96296296296296,67.6333669520009,25.270113769698185,27.400446641530422
replicate_4,pos10,11,17.25,228.7971027216857,67.46750671072364,25.24415767561051,26.43399378333364
replicate_4,pos10,12,18.75,214.7851219512195,53.455525940257445,22.912469825708,25.49604730898092
replicate_4,pos10,13,20.25,214.06666666666663,52.73707065570457,22.785760511119463,24.58559573823805
replicate_4,pos10,14,21.75,210.02777777777777,48.69818176681571,22.061336430458717,23.701657241338417
replicate_4,pos10,15,23.25,216.33823529411765,55.00863928315559,23.184091810677916,22.843278580179085
replicate_4,pos10,16,24.75,207.0113224637681,45.68172645280603,21.507449120924143,22.00953408035008
replicate_4,pos10,17,26.25,198.16176470588235,36.83216869492029,19.80830213896334,21.199524632888338
replicate_4,pos10,18,27.75,196.16363636363636,34.83404035267429,19.26312023275578,20.41237672467981
replicate_4,pos10,19,29.25,194.93243243243245,33.60283642147037,18.85710069393656,19.647241496464044
replicate_4,pos10,20,30.75,189.96546610169491,28.63587009073285,16.850207481202983,18.903293827425525
