replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_2,pos0,0,0.75,2964.7169811320755,1229.2703627069309,1343.7725366876311,1620.9444444444443,25.857124898769438,34.693798668465746
replicate_2,pos0,1,2.25,3039.088888888889,1303.6422704637444,1418.1444444444446,1620.9444444444443,27.268150443471697,31.446091556555
replicate_2,pos0,2,3.75,3010.966745283019,1275.5201268578742,1390.0223008385747,1620.9444444444443,26.727214514896712,28.497420010050245
replicate_2,pos0,3,5.25,2932.8964285714287,1197.449810146284,1311.9519841269844,1620.9444444444443,25.273081577232503,25.81974373461095
replicate_2,pos0,4,6.75,2846.166332916145,1110.7197144910006,1225.2218884717008,1620.9444444444443,23.62632982057239,23.387599456444896
replicate_2,pos0,5,8.25,2958.7323943661972,1223.2857759410526,1337.787949921753,1620.9444444444443,25.74636038371638,21.17785878014996
replicate_2,pos0,6,9.75,2823.054054054054,1087.6074356289096,1202.1096096096098,1620.9444444444443,23.151562745233452,19.169508250004714
replicate_2,pos0,7,11.25,2634.7456456456457,899.2990272205009,1013.8012012012014,1620.9444444444443,18.97803798000238,17.343449523207603
replicate_2,pos0,8,12.75,2559.8068885448915,824.3602701197469,938.8624441004472,1620.9444444444443,17.282386003802074,15.682317754819165
replicate_2,pos0,9,14.25,2520.606971153846,785.1603527287016,899.6625267094018,1620.9444444444443,16.410733757015844,14.170316467344536
replicate_2,pos0,10,15.75,2373.5348837209303,638.0882652957857,752.590439276486,1620.9444444444443,13.320027010745775,12.79306733465435
replicate_2,pos0,11,17.25,2286.0466666666666,550.600048241522,665.1022222222223,1620.9444444444443,11.788309505338155,11.537473451768903
replicate_2,pos0,12,18.75,2311.6700819672133,576.2234635420684,690.7256375227689,1620.9444444444443,12.158829274366258,10.391594790274379
replicate_2,pos0,13,20.25,2254.090909090909,518.6442906657644,633.1464646464647,1620.9444444444443,11.402698210166271,9.344534655018355
replicate_2,pos0,14,21.75,2183.4,447.9533815748555,562.4555555555557,1620.9444444444443,10.610176623389103,8.386336062348443
replicate_2,pos0,15,23.25,1991.7319587628865,256.2853403377419,370.78751431844216,1620.9444444444443,6.4681869040777595,7.50788705450623
replicate_2,pos0,16,24.75,1927.6442307692305,192.197612344086,306.69978632478615,1620.9444444444443,1.4843662942919942,6.700834049767007
replicate_2,pos0,17,26.25,1963.8666666666663,228.42004824152173,342.922222222222,1620.9444444444443,3.434322977289106,5.957502404331221
replicate_2,pos0,18,27.75,1920.3584905660375,184.9118721408929,299.4140461215932,1620.9444444444443,1.2820198813482087,5.270823430553622
replicate_2,pos0,19,29.25,1789.6109234234234,54.164304998278794,168.66647897897906,1620.9444444444443,0.78125,4.6342671774924
replicate_2,pos0,20,30.75,1746.9411764705883,11.494558045443682,125.99673202614395,1620.9444444444443,0.78125,4.041780334557127
replicate_2,pos0,21,32.25,1620.9444444444443,-114.50217398070026,0.0,1620.9444444444443,0.78125,3.4877286677523265
replicate_2,pos0,22,33.75,1715.40625,-20.040368425144607,94.46180555555566,1620.9444444444443,0.78125,2.9668434411160396
replicate_2,pos0,23,35.25,1712.0675675675675,-23.379050857577113,91.12312312312315,1620.9444444444443,0.78125,2.474171313849818
replicate_2,pos0,24,36.75,1676.722446236559,-58.724172188585385,55.778001792114765,1620.9444444444443,0.78125,2.005027236688575
replicate_2,pos0,25,38.25,1724.6363636363635,-10.810254788781094,103.69191919191917,1620.9444444444443,0.78125,1.5549498995798863
replicate_2,pos0,26,39.75,1676.6017722878623,-58.84484613728216,55.65732784341799,1620.9444444444443,0.78125,1.1196593070039034
