replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_2,pos0,0,0.75,2964.7169811320755,1229.2703627069309,30.554780106254114,36.55514203419913
replicate_2,pos0,1,2.25,3039.088888888889,1303.6422704637444,31.438761297137578,34.77173721625878
replicate_2,pos0,2,3.75,3010.966745283019,1275.5201268578742,31.106809160246385,33.04667778319362
replicate_2,pos0,3,5.25,2932.8964285714287,1197.449810146284,30.17032088016732,31.377069164165032
replicate_2,pos0,4,6.75,2846.166332916145,1110.7197144910006,29.101401650905032,29.76010983226446
replicate_2,pos0,5,8.25,2958.7323943661972,1223.2857759410526,30.482771363508384,28.19308660367942
replicate_2,pos0,6,9.75,2823.054054054054,1087.6074356289096,28.810940163511503,26.673370085095115
replicate_2,pos0,7,11.25,2634.7456456456457,899.2990272205009,26.339698764346053,25.19841026169272
replicate_2,pos0,8,12.75,2559.8068885448915,824.3602701197469,25.294293798624956,23.765732218341103
replicate_2,pos0,9,14.25,2520.606971153846,785.1603527287016,24.73038144116427,22.372931986802467
replicate_2,pos0,10,15.75,2373.5348837209303,638.0882652957857,22.487681184210512,21.01767251198351
replicate_2,pos0,11,17.25,2286.0466666666666,550.600048241522,21.034334232411034,19.697679730463943
replicate_2,pos0,12,18.75,2311.6700819672133,576.2234635420684,21.470995557924766,18.410738754721994
replicate_2,pos0,13,20.25,2254.090909090909,518.6442906657644,20.475418586914426,17.154690156654485
replicate_2,pos0,14,21.75,2183.4,447.9533815748555,19.174136331849805,15.927426344155199
replicate_2,pos0,15,23.25,1991.7319587628865,256.2853403377419,14.979823950931424,14.726888024671739
replicate_2,pos0,16,24.75,1927.6442307692305,192.197612344086,13.209818637741154,13.551060749806767
replicate_2,pos0,17,26.25,1963.8666666666663,228.42004824152173,14.24368971727864,12.397971535165741
replicate_2,pos0,18,27.75,1920.3584905660375,184.9118721408929,12.98934290482547,11.26568554977933
replicate_2,pos0,19,29.25,1789.6109234234234,54.164304998278794,7.640836451152529,10.152302869545517
replicate_2,pos0,20,30.75,1746.9411764705883,11.494558045443682,3.9298079830313033,9.055955289243846
replicate_2,pos0,21,32.25,1620.9444444444443,-114.50217398070026,0.0,7.974803187772505
replicate_2,pos0,22,33.75,1715.40625,-20.040368425144607,0.0,6.907032441348245
replicate_2,pos0,23,35.25,1712.0675675675675,-23.379050857577113,0.0,5.85085137948963
replicate_2,pos0,24,36.75,1676.722446236559,-58.724172188585385,0.0,4.8044877786759095
replicate_2,pos0,25,38.25,1724.6363636363635,-10.810254788781094,0.0,3.766185888636994
replicate_2,pos0,26,39.75,1676.6017722878623,-58.84484613728216,0.0,2.7342034862848
replicate_2,pos0,27,41.25,1660.3239436619715,-75.12267476317311,0.0,1.7068089523425798
replicate_2,pos0,28,42.75,1703.6470588235295,-31.7995596016151,0.0,0.6822783657669669
replicate_2,pos0,29,44.25,1723.9169082125602,-11.529710212584405,0.0,-0.3411073889126982
replicate_2,pos0,30,45.75,1719.0166666666669,-16.429951758477728,0.0,-1.3650655061915085
replicate_2,pos0,31,47.25,1693.049180327869,-42.39743809727565,0.0,-2.3913141409628227
replicate_2,pos0,32,48.75,1710.7121212121212,-24.73449721302336,0.0,-3.421575291503603
replicate_2,pos0,33,50.25,1723.983606557377,-11.463011867767593,0.0,-4.457577688908774
replicate_2,pos0,34,51.75,1767.9655172413793,32.518898816234696,6.137122109197713,-5.501059697822939
replicate_2,pos1,0,0.75,2249.437426900585,513.9908084754402,20.39261300696298,30.078341305792396
replicate_2,pos1,1,2.25,2337.714285714286,602.2676672891412,21.905171807875895,26.109155097862246
replicate_2,pos1,2,3.75,2314.7380952380954,579.2914768129508,21.522633501600396,22.663199784787622
replicate_2,pos1,3,5.25,2186.1341064525723,450.68748802742743,19.226321690467316,19.671417969830312
replicate_2,pos1,4,6.75,2219.310528756957,483.8639103318126,19.847181395742222,17.07385395276237
replicate_2,pos1,5,8.25,2008.5642857142857,273.1176672891412,15.403766560664229,14.818452209764626
replicate_2,pos1,6,9.75,2063.668709677419,328.2220912522746,16.701836135184113,12.860014193897367
replicate_2,pos1,7,11.25,1986.4186046511627,250.9719862260181,14.842914494544344,11.159292550287528
replicate_2,pos1,8,12.75,1992.336405529954,256.88978710480944,14.995301786785033,9.682204593986079
replicate_2,pos1,9,14.25,1847.638227513228,112.19160908808306,10.4582831292556,8.399149288488413
replicate_2,pos1,10,15.75,1944.6511627906975,209.20454436555292,13.707337804059726,7.2844140370778625
replicate_2,pos1,11,17.25,1749.6923076923076,14.245689267163016,4.308134192749816,6.31565939901279
replicate_2,pos1,12,18.75,1737.7330224772836,2.286404052139005,1.9686006601437749,5.473471404202244
replicate_2,pos1,13,20.25,1681.8915307971015,-53.55508762804311,0.0,4.740972494697305
replicate_2,pos1,14,21.75,1643.542862021858,-91.9037564032866,0.0,4.103483296214728
replicate_2,pos1,15,23.25,1586.2152981427173,-149.2313202824273,0.0,3.548228441549688
replicate_2,pos1,16,24.75,1503.9846153846156,-231.4620030405291,0.0,3.0640805505403157
replicate_2,pos1,17,26.25,1548.4722222222222,-186.97439620292243,0.0,2.641337235908823
replicate_2,pos1,18,27.75,1533.2444444444443,-202.2021739807003,0.0,2.2715266661470768
replicate_2,pos1,19,29.25,1454.6507936507935,-280.7958247743511,0.0,1.9472377889012862
replicate_2,pos1,20,30.75,1448.179577464789,-287.26704096035576,0.0,1.6619718125101743
replicate_2,pos1,21,32.25,1466.753846153846,-268.6927722712985,0.0,1.4100119693671478
replicate_2,pos1,22,33.75,1456.1201809598742,-279.3264374652705,0.0,1.186308951147168
replicate_2,pos1,23,35.25,1428.5689655172414,-306.8776529079032,0.0,0.9863797200052185
replicate_2,pos1,24,36.75,1404.9701492537313,-330.4764691714133,0.0,0.8062176679095152
replicate_2,pos1,25,38.25,1368.8333333333333,-366.61328509181135,0.0,0.6422123236907038
replicate_2,pos1,26,39.75,1328.5,-406.9466184251446,0.0,0.49107699872576865
replicate_2,pos1,27,41.25,1311.8589743589744,-423.58764406617024,0.0,0.34978292126666644
replicate_2,pos1,28,42.75,1369.444099378882,-366.0025190462626,0.0,0.21549853945698494
replicate_2,pos1,29,44.25,1469.2054507337523,-266.241167691392,0.0,0.08553277666111316
replicate_2,pos1,30,45.75,1391.9213483146068,-343.5252701105378,0.0,-0.04271889806472623
