replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_2,pos0,0,0.75,2964.7169811320755,1229.2703627069309,23.708098239034722,32.47718526945254
replicate_2,pos0,1,2.25,3039.088888888889,1303.6422704637444,25.122367058396204,29.120603471176093
replicate_2,pos0,2,3.75,3010.966745283019,1275.5201268578742,24.60845897188451,26.107880138429966
replicate_2,pos0,3,5.25,2932.8964285714287,1197.449810146284,23.054302397020244,23.40344078790063
replicate_2,pos0,4,6.75,2846.166332916145,1110.7197144910006,21.171365446240348,20.975351178729607
replicate_2,pos0,5,8.25,2958.7323943661972,1223.2857759410526,23.587072494083348,18.794940230387738
replicate_2,pos0,6,9.75,2823.054054054054,1087.6074356289096,20.652927899699222,16.8364614722133
replicate_2,pos0,7,11.25,2634.7456456456457,899.2990272205009,16.402722738051377,15.07678902698242
replicate_2,pos0,8,12.75,2559.8068885448915,824.3602701197469,14.786751683314382,13.495144538660963
replicate_2,pos0,9,14.25,2520.606971153846,785.1603527287016,13.974642818215473,12.072851819878442
replicate_2,pos0,10,15.75,2373.5348837209303,638.0882652957857,11.458746583123547,10.79311632198139
replicate_2,pos0,11,17.25,2286.0466666666666,550.600048241522,10.460336225866927,9.640826823630341
replicate_2,pos0,12,18.75,2311.6700819672133,576.2234635420684,10.774021672473427,8.602376996263395
replicate_2,pos0,13,20.25,2254.090909090909,518.6442906657644,10.002438190974523,7.665504739456635
replicate_2,pos0,14,21.75,2183.4,447.9533815748555,8.611465951003902,6.819147389040259
replicate_2,pos0,15,23.25,1991.7319587628865,256.2853403377419,0.78125,6.0533110882560255
replicate_2,pos0,16,24.75,1927.6442307692305,192.197612344086,0.78125,5.358952779479949
replicate_2,pos0,17,26.25,1963.8666666666663,228.42004824152173,0.78125,4.7278734230588775
replicate_2,pos0,18,27.75,1920.3584905660375,184.9118721408929,0.78125,4.152621182380232
replicate_2,pos0,19,29.25,1789.6109234234234,54.164304998278794,0.78125,3.626403431976328
replicate_2,pos0,20,30.75,1746.9411764705883,11.494558045443682,0.78125,3.143006549647757
replicate_2,pos0,21,32.25,1620.9444444444443,-114.50217398070026,0.78125,2.6967225455046746
