replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos10,0,0.75,291.9917541229385,102.48449384896591,189.5072602739726,26.64805290051228,108.56678074046067
replicate_4,pos10,1,2.25,325.4816810344828,135.97442076051018,189.5072602739726,35.41204928182509,86.97395083941026
replicate_4,pos10,2,3.75,342.6743961352657,153.16713586129308,189.5072602739726,40.08111365115856,69.67571547214465
replicate_4,pos10,3,5.25,326.9655172413793,137.4582569674067,189.5072602739726,35.810009652746466,55.817923409067184
replicate_4,pos10,4,6.75,313.05758941143336,123.55032913746075,189.5072602739726,32.114231063769914,44.71630542393187
replicate_4,pos10,5,8.25,339.0375,149.53023972602742,189.5072602739726,39.082516091796094,35.82268648898642
replicate_4,pos10,6,9.75,295.14827806122446,105.64101778725185,189.5072602739726,27.458114788039502,28.69791802129361
replicate_4,pos10,7,11.25,266.0515360321562,76.5442757581836,189.5072602739726,20.085866936997565,22.990193630313073
replicate_4,pos10,8,12.75,249.39948717948715,59.89222690551455,189.5072602739726,15.933490433156232,18.417677643026963
replicate_4,pos10,9,14.25,244.89090909090908,55.38364881693647,189.5072602739726,14.812163521073733,14.754588638962511
replicate_4,pos10,10,15.75,228.96296296296296,39.45570268899036,189.5072602739726,10.83965030069483,11.820050828739214
replicate_4,pos10,11,17.25,228.7971027216857,39.289842447713085,189.5072602739726,10.798059833636714,9.469162780177244
replicate_4,pos10,12,18.75,214.7851219512195,25.277861677246904,189.5072602739726,7.245809896966225,7.585842484060532
replicate_4,pos10,13,20.25,214.06666666666663,24.55940639269403,189.5072602739726,7.060721409350641,6.077095463640515
replicate_4,pos10,14,21.75,210.02777777777777,20.520517503805166,189.5072602739726,6.012007586160939,4.868422898934574
replicate_4,pos10,15,23.25,216.33823529411765,26.830975020145047,189.5072602739726,7.644634542056711,3.900143028456387
replicate_4,pos10,16,24.75,207.0113224637681,17.50406218979549,189.5072602739726,5.217634709346784,3.12444418677285
replicate_4,pos10,17,26.25,198.16176470588235,8.654504431909743,189.5072602739726,2.7976662620448134,2.503023962952791
replicate_4,pos10,18,27.75,196.16363636363636,6.656376089663752,189.5072602739726,2.2206532092492797,2.005197906414817
replicate_4,pos10,19,29.25,194.93243243243245,5.425172158459844,189.5072602739726,1.8555044638356641,1.606384391964839
replicate_4,pos10,20,30.75,189.96546610169491,0.4582058277223098,189.5072602739726,0.213753558103414,1.2868908297799637
replicate_4,pos10,21,32.25,191.33333333333337,1.8260730593607661,189.5072602739726,0.7150860224681528,1.0309412858880567
replicate_4,pos10,22,33.75,189.87142857142857,0.36416829745596146,189.5072602739726,0.1749201708242577,0.8258974990452095
replicate_4,pos10,23,35.25,190.8571428571429,1.3498825831702845,189.5072602739726,0.5491266140469152,0.6616348294292356
replicate_4,pos10,24,36.75,189.5072602739726,0.0,189.5072602739726,0.0,0.5300423247811038
replicate_4,pos10,25,38.25,190.61428571428573,1.107025440313123,189.5072602739726,0.4617625323782059,0.4246222182902386
replicate_4,pos10,26,39.75,189.57777777777775,0.07051750380514932,189.5072602739726,0.04175021468176162,0.34016908225424
replicate_4,pos10,27,41.25,192.14772727272725,2.640466998754647,189.5072602739726,0.9872715025404758,0.2725127947816589
replicate_4,pos10,28,42.75,193.9821428571429,4.4748825831702845,189.5072602739726,1.5670886082153563,0.21831262776308233
replicate_4,pos10,29,44.25,199.3870967741935,9.879836500220904,189.5072602739726,3.1440679277516534,0.17489228859869507
replicate_4,pos10,30,45.75,206.1290322580645,16.621771984091907,189.5072602739726,4.983066299303434,0.14010777038262726
replicate_4,pos10,31,47.25,209.1820512820513,19.6747910080787,189.5072602739726,5.7903758735114526,0.11224148525840826
replicate_4,pos10,32,48.75,208.9934624697337,19.48620219576108,189.5072602739726,5.740844813623632,0.08991745346869272
replicate_4,pos10,33,50.25,215.6712328767123,26.163972602739705,189.5072602739726,7.473562293842092,0.0720333603092404
replicate_4,pos10,34,51.75,213.77837837837836,24.27111810440576,189.5072602739726,6.986339829023698,0.057706126099491495
replicate_4,pos14,0,0.75,277.0343035343035,89.1771606771606,187.8571428571429,23.26269551013891,70.90298750902451
replicate_4,pos14,1,2.25,312.3333333333333,124.47619047619042,187.8571428571429,32.357955709135275,61.465431169147145
replicate_4,pos14,2,3.75,336.05762711864406,148.20048426150117,187.8571428571429,38.71890593543206,53.28284311406606
