replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_2,pos0,0,1.1311055194805195,2971.7640765765764,1318.4004402129399,1653.3636363636365,27.69422344954254,37.52679389060156
replicate_2,pos0,1,2.9104594155844157,3032.0227272727275,1378.659090909091,1653.3636363636365,28.895603747267394,33.347223170637186
replicate_2,pos0,2,4.689813311688312,2990.086956521739,1336.7233201581025,1653.3636363636365,28.055599999366837,29.63315325645796
replicate_2,pos0,3,6.469167207792207,2848.141176470588,1194.7775401069516,1653.3636363636365,25.35328836243847,26.332738675685444
replicate_2,pos0,4,8.248521103896104,2958.204081632653,1304.8404452690165,1653.3636363636365,27.429075756814118,23.399908256548784
replicate_2,pos0,5,10.027875,2763.46057448606,1110.0969381224236,1653.3636363636365,23.756573425833018,20.79372201084106
replicate_2,pos0,6,11.807228896103895,2629.5808429118774,976.2172065482409,1653.3636363636365,20.882160949273448,18.47779964413127
replicate_2,pos0,7,13.586582792207793,2495.5699999999997,842.2063636363632,1653.3636363636365,17.843312241012406,16.4198127156877
replicate_2,pos0,8,15.365936688311688,2448.16777154513,794.8041351814936,1653.3636363636365,16.780846303613412,14.591033359067533
replicate_2,pos0,9,17.145290584415584,2259.7837837837837,606.4201474201473,1653.3636363636365,12.83884341973355,12.965933263869807
replicate_2,pos0,10,18.924644480519483,2318.2259963768115,664.862360013175,1653.3636363636365,14.000873395352544,11.521827320754946
replicate_2,pos0,11,20.703998376623375,2257.3823529411766,604.0187165775401,1653.3636363636365,12.792464235012678,10.23855695529779
replicate_2,pos0,12,22.483352272727274,2073.457532051282,420.0938956876457,1653.3636363636365,10.341090659000246,9.098208730265346
replicate_2,pos0,13,24.26270616883117,1927.530303030303,274.1666666666665,1653.3636363636365,7.220018608181551,8.084864288230634
replicate_2,pos0,14,26.042060064935065,1963.8666666666663,310.50303030302985,1653.3636363636365,8.219227517901777,7.184378143919169
replicate_2,pos0,15,27.821413961038964,1917.235583311188,263.8719469475516,1653.3636363636365,6.91519295146686,6.384180224445693
replicate_2,pos0,16,29.600767857142856,1755.5,102.13636363636351,1653.3636363636365,0.78125,5.673100401059275
replicate_2,pos0,17,31.380121753246755,1695.4931506849316,42.12951432129512,1653.3636363636365,0.78125,5.041212562998901
replicate_2,pos0,18,33.159475649350654,1692.548387096774,39.184750733137435,1653.3636363636365,0.78125,4.4796960568543005
replicate_2,pos0,19,34.938829545454546,1720.4493006993007,67.0856643356642,1653.3636363636365,0.78125,3.9807125572352526
replicate_2,pos0,20,36.71818344155844,1690.513888888889,37.15025252525243,1653.3636363636365,0.78125,3.5372966499614553
replicate_2,pos0,21,38.49753733766234,1723.9938574938574,70.63022113022089,1653.3636363636365,0.78125,3.143258600401102
replicate_2,pos0,22,40.27689123376624,1653.3636363636365,0.0,1653.3636363636365,0.78125,2.7930979496811505
replicate_2,pos0,23,42.056245129870135,1687.7457627118645,34.382126348227985,1653.3636363636365,0.78125,2.4819267326408974
replicate_2,pos0,24,43.83559902597403,1723.8115942028985,70.44795783926202,1653.3636363636365,0.78125,2.20540124571233
replicate_2,pos0,25,45.61495292207792,1719.0166666666669,65.65303030303039,1653.3636363636365,0.78125,1.9596614122609834
replicate_2,pos0,26,47.39430681818182,1688.6610169491526,35.297380585516066,1653.3636363636365,0.78125,1.7412768989754477
