mode,cluster size,survival_q25,survival_q50,survival_q75
chessboard,1,0.00020704436545040098,0.0006200103713623916,0.004266645359600325
stripes,1,0.00018952473349121609,0.0005801084505448022,0.004213195047249991
chessboard,2,0.00020697791837997586,0.0006198362172361571,0.004265545137081897
stripes,2,0.0001905209174960968,0.00058199568124984,0.004215492958752507
chessboard,3,0.0002072762602999735,0.000619973069287477,0.004262823500954184
stripes,3,0.0001927227520964384,0.0005859013231738308,0.004210431162974848
chessboard,4,0.00020763709911430112,0.0006200670529132117,0.004257850199853531
stripes,4,0.00019714638001944293,0.0005952177694361579,0.004224985911957403
chessboard,5,0.0002106767772952086,0.0006259370695531276,0.004264442826328238
stripes,5,0.0002094785246872957,0.0006260679800285623,0.0043524920378108555
chessboard,6,0.0002088149146488021,0.0006208270559802063,0.004244831057258508
stripes,6,0.0002122991174553034,0.0006283207870809898,0.004298669023473258
chessboard,7,0.00021057853037137375,0.0006269565337490936,0.004273714859700348
stripes,7,0.00023458865783274513,0.0006748656947008716,0.004303236146973401
chessboard,8,0.0002111478689306313,0.0006238431632226032,0.004235797313981475
stripes,8,0.00028526054020177726,0.0007729166218635853,0.004468221462877747
chessboard,9,0.00021543191181547908,0.0006376845261193491,0.004300467206903012
stripes,9,0.0002248968698732063,0.0006606600767964201,0.004471810403644146
chessboard,10,0.000213406501452906,0.0006321157476728109,0.0042730083218329145
stripes,10,0.00020624872645232025,0.0006127287000659259,0.004263788036768322
chessboard,11,0.0002135637886986482,0.0006302103129210396,0.004253670019025511
stripes,11,0.00023243322159874794,0.000671739458718984,0.004417790561803075
chessboard,12,0.00022151393484974366,0.0006428234328713749,0.004263976859177997
stripes,12,0.0003006514832542751,0.0008065250067132757,0.004636856165279285
chessboard,13,0.00023542144169316933,0.0006822340704261768,0.004434877369323376
stripes,13,0.0003832143494475874,0.0009589559887577327,0.004884505412379862
chessboard,14,0.00023050205922195427,0.0006703765367126991,0.00438313936766441
stripes,14,0.00033399942279654796,0.0008682137801799673,0.004706803854792949
chessboard,15,0.0002275556317768644,0.0006633735121697556,0.004349602291624632
stripes,15,0.00029765439699310506,0.0007983101313738508,0.004556063105718103
chessboard,16,0.00022563926258147127,0.0006587732422669299,0.0043247287510577975
stripes,16,0.0002772045326572092,0.0007567987784621281,0.004450174076964314
chessboard,17,0.00022449307651685837,0.0006558156609783209,0.004305694666720087
stripes,17,0.00027453454591589127,0.0007492544591686001,0.004406379799377559
chessboard,18,0.000224568789413872,0.0006553837843436577,0.004295336295901485
stripes,18,0.00029018003411237467,0.0007779268509456557,0.004435711929248779
chessboard,19,0.00022732240305479694,0.0006610250303729947,0.00430868639815543
stripes,19,0.00032373541367808155,0.0008415896031635041,0.004540191589600805
chessboard,20,0.00023503426458565423,0.0006784485661710635,0.004371077574777347
stripes,20,0.0003739996357116185,0.0009350509217203741,0.0047042875153746255
chessboard,21,0.0002504265630919827,0.000714313371701828,0.004510974777050379
stripes,21,0.000439511486080669,0.0010499069564777802,0.004891708931255664
chessboard,22,0.0002756675087218585,0.0007725052055359974,0.004734240540131448
stripes,22,0.000518244909145503,0.0011744067260701042,0.005042384033411012
chessboard,23,0.0003115582180026836,0.0008500582090217162,0.004986113556616909
stripes,23,0.0006073438381404741,0.001294299537311433,0.005082609743601464
chessboard,24,0.0003559165418688117,0.0009304428116946405,0.005097721854738336
stripes,24,0.0007022034405921717,0.0013930600600487641,0.004940199579315407
