Target,Rhamnolipids (µg/ml),HQNO (µg/ml),Timepoint (h),CFU,Survival,Replicate,Experiment
SVS002,25,0.08,0,8.80E+07,100%,1,5
SVS002,25,0.08,0,7.60E+07,100%,2,5
SVS002,25,0.08,0,5.20E+07,100%,3,5
SVS002,25,0.06,0,8.40E+07,100%,1,5
SVS002,25,0.06,0,1.16E+08,100%,2,5
SVS002,25,0.06,0,7.20E+07,100%,3,5
SVS002,25,0.04,0,1.08E+08,100%,1,5
SVS002,25,0.04,0,8.80E+07,100%,2,5
SVS002,25,0.04,0,4.40E+07,100%,3,5
SVS002,25,0.02,0,9.60E+07,100%,1,5
SVS002,25,0.02,0,9.20E+07,100%,2,5
SVS002,25,0.02,0,8.00E+07,100%,3,5
SVS002,25,0.01,0,1.08E+08,100%,1,5
SVS002,25,0.01,0,1.20E+08,100%,2,5
SVS002,25,0.01,0,8.80E+07,100%,3,5
SVS002,25,0,0,7.20E+07,100%,1,5
SVS002,25,0,0,7.20E+07,100%,2,5
SVS002,25,0,0,9.60E+07,100%,3,5
SVS002,12.5,0.08,0,8.00E+07,100%,1,5
SVS002,12.5,0.08,0,1.24E+08,100%,2,5
SVS002,12.5,0.08,0,9.20E+07,100%,3,5
SVS002,12.5,0.06,0,8.40E+07,100%,1,5
SVS002,12.5,0.06,0,1.04E+08,100%,2,5
SVS002,12.5,0.06,0,5.60E+07,100%,3,5
SVS002,12.5,0.04,0,8.40E+07,100%,1,5
SVS002,12.5,0.04,0,9.60E+07,100%,2,5
SVS002,12.5,0.04,0,7.60E+07,100%,3,5
SVS002,12.5,0.02,0,9.20E+07,100%,1,5
SVS002,12.5,0.02,0,4.40E+07,100%,2,5
SVS002,12.5,0.02,0,7.60E+07,100%,3,5
SVS002,12.5,0.01,0,6.40E+07,100%,1,5
SVS002,12.5,0.01,0,8.00E+07,100%,2,5
SVS002,12.5,0.01,0,2.80E+07,100%,3,5
SVS002,12.5,0,0,9.20E+07,100%,1,5
SVS002,12.5,0,0,6.80E+07,100%,2,5
SVS002,12.5,0,0,7.20E+07,100%,3,5
SVS002,6.25,0.08,0,1.16E+08,100%,1,5
SVS002,6.25,0.08,0,1.08E+08,100%,2,5
SVS002,6.25,0.08,0,1.24E+08,100%,3,5
SVS002,6.25,0.06,0,9.20E+07,100%,1,5
SVS002,6.25,0.06,0,7.20E+07,100%,2,5
SVS002,6.25,0.06,0,1.08E+08,100%,3,5
SVS002,6.25,0.04,0,1.16E+08,100%,1,5
SVS002,6.25,0.04,0,8.40E+07,100%,2,5
SVS002,6.25,0.04,0,1.24E+08,100%,3,5
SVS002,6.25,0.02,0,8.40E+07,100%,1,5
SVS002,6.25,0.02,0,9.60E+07,100%,2,5
SVS002,6.25,0.02,0,1.36E+08,100%,3,5
SVS002,6.25,0.01,0,1.12E+08,100%,1,5
SVS002,6.25,0.01,0,1.24E+08,100%,2,5
SVS002,6.25,0.01,0,1.44E+08,100%,3,5
SVS002,6.25,0,0,1.12E+08,100%,1,5
SVS002,6.25,0,0,8.40E+07,100%,2,5
SVS002,6.25,0,0,1.48E+08,100%,3,5
