HQNO,median_gfp,replicate
HQNO_0,161,1
HQNO_0,169,2
HQNO_0,165,3
HQNO_5,182,1
HQNO_5,171,2
HQNO_5,170,3
HQNO_10,160,1
HQNO_10,187,2
HQNO_10,185,3
HQNO_20,166,1
HQNO_20,174,2
HQNO_20,173,3
HQNO_40,186,1
HQNO_40,202,2
HQNO_40,207,3
HQNO_80,450,1
HQNO_80,443,2
HQNO_80,443,3
HQNO_160,689,1
HQNO_160,665,2
HQNO_160,663,3
HQNO_320,1010,1
HQNO_320,992,2
HQNO_320,1012,3
HQNO_640,1197,1
HQNO_640,1195,2
HQNO_640,1197,3
HQNO_1280,1440,1
HQNO_1280,1462,2
HQNO_1280,1489,3
HQNO_2500,1526,1
HQNO_2500,1421,2
HQNO_2500,1307,3
HQNO_5000,610,1
HQNO_5000,730,2
HQNO_5000,710,3
