RHL,median_mcherry,replicate
RHL_0,6674,1
RHL_0,6972,2
RHL_0,6957,3
RHL_0_78125,7731,1
RHL_0_78125,7496,2
RHL_0_78125,7446,3
RHL_1_5625,7365,1
RHL_1_5625,7317,2
RHL_1_5625,7301,3
RHL_3_125,7463,1
RHL_3_125,7992,2
RHL_3_125,7904,3
RHL_6_25,7800,1
RHL_6_25,8045,2
RHL_6_25,8135,3
RHL_12_5,10202,1
RHL_12_5,9951,2
RHL_12_5,10064,3
RHL_25,13796,1
RHL_25,13481,2
RHL_25,13388,3
RHL_50,20184,1
RHL_50,22027,2
RHL_50,22027,3
RHL_100,48489,1
RHL_100,47905,2
RHL_100,48138,3
RHL_200,65555,1
RHL_200,62894,2
RHL_200,62741,3
RHL_400,74065,1
RHL_400,72455,2
RHL_400,72278,3
RHL_800,62436,1
RHL_800,61982,2
RHL_800,62133,3
